A_recoverable_norm,E_mode_norm,PiO_mode_norm,alignment_with_negative_Arec,lambda,method,mode,policy,setting,source_visible_norm
0.016939847902615573,9.39184824568217e-13,0.016939847902397068,1.0000000000000002,0.1,L2,1,PiC0,hidden_u_hurts,1.179566679912516
0.016939847902615573,0.0011984793594839688,0.015787511149934992,0.9997972001580487,0.1,L2,1,Pi0K,hidden_u_hurts,1.179566679912516
0.016939847902615573,0.0011984793594839688,0.015787511149934992,0.9997972001580487,0.1,L2,1,PiCK,hidden_u_hurts,1.179566679912516
0.0,0.0,0.0,0.0,0.1,L2,2,actual,hidden_u_hurts,1.1180339887572193
0.0,0.0,0.0,0.0,0.1,L2,2,Pi00,hidden_u_hurts,1.1180339887572193
0.0,0.0,0.0,0.0,0.1,L2,2,PiC0,hidden_u_hurts,1.1180339887572193
0.0,0.0,0.0,0.0,0.1,L2,2,Pi0K,hidden_u_hurts,1.1180339887572193
0.0,0.0,0.0,0.0,0.1,L2,2,PiCK,hidden_u_hurts,1.1180339887572193
0.17753407154173476,0.015474437896535083,0.16343540118514885,0.9992988931841917,0.1,L2,3,actual,hidden_u_hurts,1.0491124338579063
0.17753407154173476,1.0963549703322613e-12,0.1775340715414341,1.0,0.1,L2,3,Pi00,hidden_u_hurts,1.0491124338579063
0.17753407154173476,1.0963549703322613e-12,0.1775340715414341,1.0,0.1,L2,3,PiC0,hidden_u_hurts,1.0491124338579063
0.17753407154173476,0.008501065294534024,0.16923963537064315,0.9999422475093278,0.1,L2,3,Pi0K,hidden_u_hurts,1.0491124338579063
0.17753407154173476,0.008501065294534024,0.16923963537064315,0.9999422475093278,0.1,L2,3,PiCK,hidden_u_hurts,1.0491124338579063
0.06589107497652855,0.009634837303930346,0.06059647700696195,0.9918856619914004,0.1,L2,4,actual,hidden_u_hurts,1.0178008433018144
0.06589107497652855,1.4467491681715249e-12,0.06589107497625257,1.0,0.1,L2,4,Pi00,hidden_u_hurts,1.0178008433018144
0.06589107497652855,1.4467491681715249e-12,0.06589107497625257,1.0,0.1,L2,4,PiC0,hidden_u_hurts,1.0178008433018144
0.06589107497652855,0.0033331861633495658,0.06266069639313915,0.9999182828702119,0.1,L2,4,Pi0K,hidden_u_hurts,1.0178008433018144
0.06589107497652855,0.0033331861633495658,0.06266069639313915,0.9999182828702119,0.1,L2,4,PiCK,hidden_u_hurts,1.0178008433018144
0.1263984541514605,0.009684105924578744,0.11694572242398642,0.9998502285625664,0.1,L2,5,actual,hidden_u_hurts,0.5553390759962502
0.1263984541514605,1.8658242699517025e-13,0.12639845415140755,1.0,0.1,L2,5,Pi00,hidden_u_hurts,0.5553390759962502
0.1263984541514605,1.8658242699517025e-13,0.12639845415140755,1.0,0.1,L2,5,PiC0,hidden_u_hurts,0.5553390759962502
0.1263984541514605,0.008861509853773573,0.11760063819602096,0.9999621652810026,0.1,L2,5,Pi0K,hidden_u_hurts,0.5553390759962502
0.1263984541514605,0.008861509853773573,0.11760063819602096,0.9999621652810026,0.1,L2,5,PiCK,hidden_u_hurts,0.5553390759962502
0.2146119130120162,0.022200643049967966,0.19250249482924253,0.9999510789909581,0.1,L2,6,actual,hidden_u_hurts,0.46330382781737406
0.2146119130120162,3.100503007300247e-13,0.214611913012159,1.0,0.1,L2,6,Pi00,hidden_u_hurts,0.46330382781737406
0.2146119130120162,3.100503007300247e-13,0.214611913012159,1.0,0.1,L2,6,PiC0,hidden_u_hurts,0.46330382781737406
0.2146119130120162,0.01820204516589538,0.19646202597023105,0.9999775153038295,0.1,L2,6,Pi0K,hidden_u_hurts,0.46330382781737406
0.2146119130120162,0.01820204516589538,0.19646202597023105,0.9999775153038295,0.1,L2,6,PiCK,hidden_u_hurts,0.46330382781737406
0.15942051929462298,9.195463283438188e-07,0.1594196334962199,0.9999999999988013,0.001,IRMV1,0,actual,hidden_u_hurts,1.3086745454002222
0.15942051929462298,2.136817940231098e-12,0.15942051929382411,1.0,0.001,IRMV1,0,Pi00,hidden_u_hurts,1.3086745454002222
0.15942051929462298,0.0002358868588567192,0.15953725043971378,0.9999991739943134,0.001,IRMV1,0,PiC0,hidden_u_hurts,1.3086745454002222
0.15942051929462298,0.00023503429129942773,0.15930446650502286,0.9999991775829088,0.001,IRMV1,0,Pi0K,hidden_u_hurts,1.3086745454002222
0.15942051929462298,5.178914726710708e-07,0.15942058709020365,0.9999999999948138,0.001,IRMV1,0,PiCK,hidden_u_hurts,1.3086745454002222
