actual_target_risk_change,blind_fraction,control_score_c,curvature_ratio,exact_optimizer_success,exact_target_risk,exposure_posthoc,intervention_family_posthoc,lambda,local_valid,local_vulnerability,method,metric_min_eigenvalue,relevance_squared,shift_id,shift_index,source_optimum_target_risk,steering,steering_class
1.8181696148644733e-08,0.0,0.6856600483769424,0.9999931434579707,True,0.3019302910540933,S1,relation,1e-05,True,0.0016577855491178668,L2,1.0711050225474326,0.013741337539464145,S1-relation--1-1.0,10,0.30193027287239715,1.8233492705297402e-08,harmful
-2.849046906172603e-07,0.0,0.6226742544936366,0.9999937733004307,True,0.27455976198246845,S1,mean,1e-05,True,0.0029584400432986725,L2,1.0711050225474326,0.04376253683272921,S1-mean--1-1.0,11,0.27456004688715907,-2.849687699112207e-07,helpful
-1.248366325867778e-07,0.0,0.37903153301099995,0.9999962097088845,True,0.2221279829510716,S1,relation,1e-05,True,0.0012928355521157817,L2,1.0711050225474326,0.008357178883588494,S1-relation-+1-1.0,12,0.2221281077877042,-1.2487154623927413e-07,helpful
-4.1743851042497226e-08,0.0,0.4860028510130237,0.9999951399964421,True,0.27456000514330814,S1,mean,1e-05,True,0.002958444960535786,L2,1.0711050225474326,0.043762536832729265,S1-mean-+1-1.0,13,0.2745600468871592,-4.1610269036583164e-08,helpful
-3.9998405798602477e-07,0.0,0.8630695322344473,0.9999913693831618,True,0.3015199746471823,S1,variance,1e-05,True,0.002802894552447959,L2,1.0711050225474326,0.03928177311879963,S1-variance-1.0,14,0.30152037463124026,-3.99892700752413e-07,helpful
2.3501962154170997e-08,0.0,0.7211412494579069,0.9999927886456429,True,0.2621915134080741,S2,relation,1e-05,True,0.00033622506863670125,L2,1.0711050225474326,0.0005652361647570547,S2-relation--1-0.25,15,0.26219148990611196,2.3481347022702007e-08,harmful
-2.050176961532202e-08,0.0,0.5071493165991059,0.9999949285336478,True,0.2563879042969899,S2,mean,1e-05,True,0.00041904091266984635,L2,1.0711050225474326,0.0008779851951268903,S2-mean--1-0.25,16,0.2563879247987595,-2.0523376104435363e-08,helpful
-2.4754452598862997e-08,0.0,0.6965890713945313,0.9999930341649796,True,0.24999935769690862,S2,relation,1e-05,True,0.0003139234027060156,L2,1.0711050225474326,0.0004927389512466441,S2-relation-+1-0.25,17,0.24999938245136122,-2.474392523008421e-08,helpful
1.664821880353884e-08,0.0,0.4989096574808727,0.9999950109296675,True,0.2563879414469783,S2,mean,1e-05,True,0.00041904112161634415,L2,1.0711050225474326,0.000877985195126891,S2-mean-+1-0.25,18,0.2563879247987595,1.6656730344327504e-08,harmful
-1.891248646579413e-08,0.0,0.7834861591082698,0.9999921652019641,True,0.2602079845296006,S2,variance,1e-05,True,0.0004243455997920256,L2,1.0711050225474326,0.0009003570023965495,S2-variance-0.25,19,0.26020800344208705,-1.8938673110732644e-08,helpful
4.5738489107272073e-08,0.0,0.7314574793652026,0.9999926854843666,True,0.2687130273647369,S2,relation,1e-05,True,0.0006954055634325788,L2,1.0711050225474326,0.00241794384608098,S2-relation--1-0.5,20,0.2687129816262478,4.570011583802183e-08,harmful
-4.487003413267132e-08,0.0,0.5197252239152748,0.9999948027759926,True,0.25769078378155397,S2,mean,1e-05,True,0.000851409902953625,L2,1.0711050225474326,0.0036245322994010055,S2-mean--1-0.5,21,0.2576908286515881,-4.4913397968978716e-08,helpful
-5.077434017675131e-08,0.0,0.6820554090531951,0.9999931795001512,True,0.24432871594240624,S2,relation,1e-05,True,0.0006062950977429524,L2,1.0711050225474326,0.0018379661379977136,S2-relation-+1-0.5,22,0.24432876671674641,-5.075042866755046e-08,helpful
